citations,specificity,title,author,year,isbn,in_seed_index,weighted,score,key
4,0.841,A Short History of Chemistry,Partington,1989,978-0-486-65977-0,False,0.001222220319,0.0010282848258804458,isbn:9780486659770
12,0.738,Metallomics and the Cell,Clausen,2013,978-94-007-5560-4,False,0.0013564416810000002,0.0010010471687628487,isbn:9789400755604
14,0.695,General Chemistry: Principles and Modern Applications,Petrucci,2002,0-13-014329-4,False,0.001425688921,0.0009905775904195252,isbn:0130143294
9,0.694,Molecular modelling: principles and applications,Leach,2009,978-0-582-38210-7,False,0.0014083147480000002,0.0009771050439681156,isbn:9780582382107
34,0.485,IUPAC Compendium of Chemical Terminology,McNaught,1997,978-0-9678550-9-7,False,0.0020016379170000004,0.0009707499720435794,isbn:9780967855097
5,0.834,Chemical Kinetics and Dynamics,Steinfeld,1999,0-13-737123-3,False,0.0011628477800000002,0.000969282290517918,isbn:0137371233
14,0.689,Interrelations between Essential Metal Ions and Human Diseases,Vincent,2013,978-94-007-7499-5,False,0.0014059083170000002,0.0009685066678692168,isbn:9789400774995
12,0.779,The History and Use of Our Earth's Chemical Elements: A Reference Guide,Krebs,2006,978-0-313-33438-2,False,0.001241272247,0.0009666606010729724,isbn:9780313334382
9,0.731,Physical Chemistry,Laidler,1982,0-8053-5682-7,True,0.0013141089910000002,0.0009602501998885673,isbn:0805356827
4,0.908,Organic Reactions,Farina,1997,0-471-26418-0,False,0.0010266590799999998,0.0009322312799442539,isbn:0471264180
3,0.898,Encyclopedia of Reagents for Organic Synthesis,Manchand,2001,0471936235,False,0.001036577399,0.0009312905359840726,isbn:0471936235
10,0.796,Chemistry of the Elements,"Greenwood, N. N.",1997,0-7506-3365-4,False,0.0011506592269999998,0.0009162336781832993,isbn:0750633654
4,0.89,Organoarsenicals. Distribution and transformation in the environment,Reimer,2010,978-1-84755-177-1,False,0.001002927756,0.0008923529401566819,isbn:9781847551771
24,0.727,The Transuranium People: The Inside Story,Hoffman,2000,978-1-78-326244-1,False,0.0012267506900000003,0.00089161935102918,isbn:9781783262441
16,0.722,Kirk-Othmer Encyclopedia of Chemical Technology,Ferhan Çeçen,2024,9780471238966,False,0.001227600231,0.0008868181610463717,isbn:9780471238966
33,0.928,Handbook of Chemistry and Physics,Lide,1998,0-8493-0594-2,True,0.0009462635189999998,0.0008777608783430258,isbn:0849305942
16,0.709,Chemistry of the Elements,Greenwood,2002,978-0-7506-3365-9,False,0.0012300230589999998,0.000871639613447572,isbn:9780750633659
7,0.838,Alchemy,Holmyard,1957,978-0-486-26298-7,False,0.001038950874,0.0008706580777578149,isbn:9780486262987
22,0.735,From Transuranic to Superheavy Elements: A Story of Dispute and Creation,Kragh,2018,978-3-319-75813-8,False,0.0011845123500000003,0.0008703219780587024,isbn:9783319758138
4,0.872,Handbook of Electrochemistry,"Zoski, Cynthia G.",2007,978-0-444-51958-0,False,0.0009751716799999998,0.0008502596574966801,isbn:9780444519580
17,0.706,"Industrial minerals & rocks: commodities, markets, and uses",Phillip Sabey,5 March 2006,978-0-87335-233-8,False,0.0011681917399999997,0.0008247756610034592,isbn:9780873352338
3,0.898,HPLC for pharmaceutical scientists,,2007,978-0-471-68162-5,False,0.0009114692999999999,0.0008182836038869494,isbn:9780471681625
5,0.722,Inorganic Chemistry,Housecroft,2018,978-1292134147,True,0.001101980473,0.0007959251134013973,isbn:9781292134147
15,0.684,Discovery of the Elements,Weeks,2003,978-0-7661-3872-8,False,0.001160644448,0.0007936561305554019,isbn:9780766138728
8,0.833,Advanced Inorganic Chemistry,Cotton,1999,978-0-471-19957-1,True,0.000947088161,0.000788970499371324,isbn:9780471199571
9,0.783,Nature's Building Blocks: An A-Z Guide to the Elements,Emsley,2003,0-19-850340-7,False,0.000994838814,0.0007792465155346833,isbn:0198503407
5,0.843,Great Clarity: Daoism and Alchemy in Early Medieval China,Pregadio,2006,978-0-8047-6773-6,False,0.0009117205,0.0007689800626873773,isbn:9780804767736
8,0.695,"The Periodic Table, Its Story and Its Significance",Eric R. Scerri,2020,978-0-190-91436-3,False,0.0010961818809999998,0.0007620020371539488,isbn:9780190914363
7,0.783,Encyclopedia of the elements,Enghag,2004,978-3-527-30666-4,False,0.000968221131,0.0007577884624994766,isbn:9783527306664
16,0.557,Chemical achievers : the human face of the chemical sciences,Bowden,1997,978-0-941901-12-3,False,0.001344557226,0.000749342163736985,isbn:9780941901123
6,0.828,New beer in an old bottle: Eduard Buchner and the growth of biochemical knowledge,Laidler,1997,978-84-370-3328-0,False,0.0008834620899999999,0.0007318699512486925,isbn:9788437033280
5,0.885,Inorganic Syntheses,Anderson,1990,978-0-470-13259-3,False,0.0008267018000000001,0.0007315486957977706,isbn:9780470132593
10,0.695,A Guide to the Elements,Stwertka,1999,978-0-19-508083-4,False,0.001051531402,0.0007309404649624291,isbn:9780195080834
24,0.573,Concepts of modern physics,Beiser,2003,978-0-07-244848-1,False,0.0012739478500000002,0.0007302716145892709,isbn:9780072448481
7,0.905,Analogue-based Drug Discovery,,2006,978-3-527-60749-5,False,0.0008050340360000001,0.0007286618090679357,isbn:9783527607495
11,0.776,Cadmium: From Toxicity to Essentiality,Carballo,2013,978-94-007-5178-1,False,0.0009088416640000001,0.0007054378662285996,isbn:9789400751781
60,0.53,Encyclopedia of Life Sciences,"Schaal, Stephan",27 January 2006,978-0-470-01617-6,False,0.0013210369049999997,0.0007001878973699231,isbn:9780470016176
18,0.73,Relativistic Methods for Chemists,Thayer,2010,978-1-4020-9974-8,False,0.0009556330289999999,0.000697793443995645,isbn:9781402099748
11,0.782,Biochemistry,Berg,2002,0-7167-3051-0,False,0.0008848789009999999,0.0006919204683049102,isbn:0716730510
30,0.491,An Introduction to Genetic Analysis,,2000,978-0-7167-3520-5,False,0.001405091831999999,0.0006896418194511773,isbn:9780716735205
3,0.72,Computational Chemistry and Molecular Modeling,,2008,978-3-540-77302-3,False,0.0009405898,0.0006767549887006457,isbn:9783540773023
11,0.726,Jewelrymaking through history,,2007,978-0-313-33507-5,False,0.0009269164449999999,0.0006733889198982081,isbn:9780313335075
3,0.814,Experimental organic chemistry: Principles and Practice,,1989,978-0-632-02017-1,True,0.0008213433939999998,0.0006683173741794216,isbn:9780632020171
8,0.761,Biochemistry,Berg,2007,978-0-7167-8724-2,False,0.0008734506380000001,0.0006647433831673586,isbn:9780716787242
3,0.901,Comprehensive Organic Name Reactions and Reagents,,2010,978-0-470-63885-9,False,0.0007272817989999998,0.0006551270857450347,isbn:9780470638859
8,0.816,The Alkali Metal Ions: Their Role in Life,,2016,978-3-319-21755-0,False,0.0007993902669999998,0.0006523984644973098,isbn:9783319217550
3,0.953,Phenethylamine: von der Struktur zur Funktion,,2013,978-3-03788-700-4,False,0.0006806124060000004,0.0006487658360940186,isbn:9783037887004
6,0.782,"Chemistry of Arsenic, Antimony and Bismuth",Norman,1998,978-0-7514-0389-3,False,0.0008149336519999999,0.0006373212835159563,isbn:9780751403893
7,0.887,Concise Dictionary of Pharmacological Agents: Properties and Synonyms,,6 December 2012,978-94-011-4439-1,False,0.0007149468349999997,0.0006338733683290133,isbn:9789401144391
10,0.769,Lehrbuch Der Anorganischen Chemie,Wiberg,2007,978-3-11-017770-1,False,0.000821046893,0.0006316107747422594,isbn:9783110177701
5,0.825,Mass Spectrometry: Principles and Applications,de Hoffman,2001,978-0-471-48566-7,False,0.0007636140599999999,0.000630014033631636,isbn:9780471485667
5,0.911,Structural Methods in Molecular Inorganic Chemistry,"David W. H. Rankin, Norbert W. Mitzel, Carole A. Morrison",2013,978-1-118-46288-1,True,0.0006907709029999999,0.0006294905164697424,isbn:9781118462881
14,0.719,Medical toxicology,Schonwald,2004,978-0-7817-2845-4,False,0.000869130674,0.0006248584944901399,isbn:9780781728454
6,0.814,The Chemistry of the Actinide and Transactinide Elements,Hoffman,2006,1-4020-3555-1,False,0.0007669353559999999,0.0006244414634871493,isbn:1402035551
3,0.835,Discovery of the Elements,Weeks,1968,0-7661-3872-0,False,0.000747373196,0.0006242252544497699,isbn:0766138720
7,0.825,CRC Handbook of Chemistry and Physics,,2007–2008,978-0-8493-0488-0,True,0.0007540404950000001,0.0006221045763883975,isbn:9780849304880
12,0.771,Handbook of Inorganic Chemical Compounds,Patnaik,2003,978-0-07-049439-8,False,0.0008060608580000001,0.0006212539359022118,isbn:9780070494398
4,0.894,The Organometallic Chemistry of the Transition Metals,Crabtree,2009,978-0-470-25762-3,False,0.000689937742,0.0006165123155292008,isbn:9780470257623
4,0.843,"Alchemy: Science of the Cosmos, Science of the Soul",Burckhardt,1967,978-0-906540-96-1,False,0.0007293764,0.0006151840501499018,isbn:9780906540961
33,0.503,Molecular Biology of the Cell,,2002,978-0-8153-3218-3,False,0.0012082624130000002,0.0006077369177328011,isbn:9780815332183
12,0.761,Exploring Chemical Elements and their Compounds,David L. Heiserman,1992,978-0-8306-3018-9,False,0.0007905219490000002,0.0006013103535799341,isbn:9780830630189
4,0.783,Principles of magnetic resonance: with examples from solid state physics,Charles P. Slichter,1963,978-3-540-08476-1,True,0.000748465289,0.0005863288778667817,isbn:9783540084761
15,0.476,Fundamentals of Heat and Mass Transfer,Incropera,2007,978-0-471-45728-2,True,0.001222549461,0.0005814481865377521,isbn:9780471457282
10,0.742,WHO Model Formulary 2008,,2009,978-92-4-154765-9,False,0.0007796863150000001,0.000578329436799389,isbn:9789241547659
10,0.767,Nature's building blocks: an A-Z guide to the elements,"Emsley, John",2001,0-19-850341-5,False,0.000745401165,0.0005719727469052065,isbn:0198503415
26,0.703,Louis Pasteur,Debré,2000,978-0-8018-6529-9,False,0.0008111168499999999,0.0005701037606130427,isbn:9780801865299
8,0.66,Heat Transfer,Holman,2002,978-0-07-240655-9,False,0.0008250938040000001,0.0005443575199108917,isbn:9780072406559
3,0.814,CRC Handbook of Chemistry and Physics,,2014,978-1-4822-0868-9,True,0.0006650616999999999,0.0005412726053415186,isbn:9781482208689
3,0.634,"Radiation: Fundamentals, Applications, Risks, and Safety",Obodovskiy,2019,978-0-444-63986-8,False,0.0008492221000000001,0.0005387625952031805,isbn:9780444639868
3,0.895,Comprehensive Supramolecular Chemistry II,Atwood,2017-06-22,978-0-12-803199-5,False,0.0005961498440000002,0.0005335260713111478,isbn:9780128031995
16,0.695,Treatise on Geochemistry,Krot,2007,978-0-08-043751-4,False,0.0007620605530000001,0.0005295420610339069,isbn:9780080437514
7,0.801,Structural Inorganic Chemistry,Wells,1984,978-0-19-855370-0,True,0.000659059503,0.0005281996086587432,isbn:9780198553700
10,0.734,The Transuranium People: The Inside Story,Hoffman,2000,978-1-86094-087-3,False,0.0007140318839999999,0.0005242245902358105,isbn:9781860940873
8,0.772,Concise Encyclopedia Chemistry,,1994,978-3-11-011451-5,False,0.0006767241569999999,0.0005226995859342516,isbn:9783110114515
6,0.723,Copper and copper alloys,Davis,2001,978-0-87170-726-0,False,0.0007171979499999999,0.0005184419450075566,isbn:9780871707260
16,0.724,The 100 Most Important Chemical Compounds: A Reference Guide,Myers,2007,978-0-313-33758-1,False,0.0007139051479999999,0.0005165999655385872,isbn:9780313337581
3,0.879,Four Centuries of Clinical Chemistry,Rosenfeld,1999,90-5699-645-2,False,0.0005819938620000001,0.0005118527136514854,isbn:9056996452
12,0.607,Biology: Exploring Life,Campbell,2006,978-0-13-250882-7,False,0.000840369768,0.0005104929156415143,isbn:9780132508827
24,0.746,Chemistry and Structure-Activity Relationships of Psychedelics,,2018,978-3-662-55878-2,False,0.0006811308189999998,0.0005083239702540122,isbn:9783662558782
6,0.737,Biochemistry,"Voet, Judith G.",2004,978-0-471-19350-0,False,0.0006835524079999999,0.000503562788560173,isbn:9780471193500
5,0.551,Chemistry – the Central Science,"Brown, T.L.",2003,978-0-13-066997-1,False,0.0009119553,0.000502256307684261,isbn:9780130669971
5,0.792,Organic chemistry,"Fox, Marye Anne",2004,978-0-7637-2197-8,True,0.000628655062,0.0004980999671658571,isbn:9780763721978
4,0.839,The principles of chemical equilibrium,Denbeigh,1981,0-521-28150-4,False,0.0005928824400000001,0.0004974443269379153,isbn:0521281504
14,0.725,The Chemistry of Superheavy Elements,Moody,2013-11-30,978-3-642-37466-1,False,0.00068095885,0.0004936759870476078,isbn:9783642374661
3,0.684,The Extractive Metallurgy of Gold,Yannopoulos,1991,978-1-4684-8427-4,False,0.00071940207,0.000491964339435593,isbn:9781468484274
3,0.769,Molecular Imaging: Fundamentals and Applications,,2013,978-3-642-34303-2,False,0.00063674542,0.0004893470122914842,isbn:9783642343032
3,0.79,"Molecular Simulation of Fluids: Theory, Algorithms and Object-Orientation",,2002,0-444-51082-6,True,0.0006123295,0.00048390884755536326,isbn:0444510826
3,0.78,Computer simulation of liquids,,1989,0-19-855645-4,False,0.0006123295,0.0004779153868223446,isbn:0198556454
6,0.733,Modelling Marvels,Lewars,2008,978-1-4020-6972-7,False,0.000647082765,0.0004741010980562402,isbn:9781402069727
3,0.557,General Chemistry,"Ebbin, Darrell D.",1990,978-0-395-43302-7,False,0.0008361959399999999,0.0004655212586647538,isbn:9780395433027
3,0.844,The Jewish Alchemists: A History and Source Book,Patai,1995,978-0-691-00642-0,False,0.000550351651,0.0004646264404921627,isbn:9780691006420
12,0.714,Chemistry of the Elements,Greenwood,1997,978-0-08-037941-8,False,0.0006480864869999999,0.00046256816881986483,isbn:9780080379418
3,0.843,L'alchimista antico,Martelli,2019,978-88-7075-979-2,False,0.0005470323,0.00046138803761242627,isbn:9788870759792
3,0.843,"Early Greek Alchemy, Patronage and Innovation in Late Antiquity",Dufault,2019,978-1-939926-12-8,False,0.0005470323,0.00046138803761242627,isbn:9781939926128
5,0.806,Lead: Inorganic Chemistry,Bharara,2006,978-0470860786,True,0.000572030501,0.0004608065263480717,isbn:9780470860786
6,0.874,Hallucinogens: A Forensic Drug Handbook,,2003,978-0-12-433951-4,False,0.00052716177,0.00046069436082053094,isbn:9780124339514
6,0.8,Inorganic Chemistry,Miessler,1999,0-13-841891-8,True,0.0005723437599999999,0.0004576470677701676,isbn:0138418918
6,0.824,Actinium,Kirby,2010,978-94-007-0210-3,False,0.000551623025,0.00045468762307276906,isbn:9789400702103
10,0.919,PATAI'S Chemistry of Functional Groups.,Zabicky,2009,9780470682531,False,0.0004911499690000001,0.0004514421947273997,isbn:9780470682531
8,0.785,Physical Chemistry,Atkins,2006,0-19-870072-5,True,0.0005740154940000001,0.00045045606234968657,isbn:0198700725
6,0.78,"Handbook of Chalcogen Chemistry –New Perspectives in Sulfur, Selenium and Tellurium",,2007,978-0-85404-366-8,False,0.0005766769309999999,0.0004497513808321388,isbn:9780854043668
5,0.867,Fundamentals of Analytical Chemistry,Skoog,2004,0-03-035523-0,False,0.000517886522,0.0004490895648353533,isbn:0030355230
4,0.862,Inorganic Chemistry,Shriver,1999,0-19-850331-8,True,0.00051721506,0.0004458697349028778,isbn:0198503318
9,0.669,The Metal-Driven Biogeochemistry of Gaseous Compounds in the Environment,ten Brink,2014,978-94-017-9268-4,False,0.0006616385530000002,0.0004427914360601656,isbn:9789401792684
9,0.644,"Chemistry of Aluminium, Gallium, Indium and Thallium",Downs,1993,978-0-7514-0103-5,False,0.000685642531,0.0004417345088890319,isbn:9780751401035
3,0.844,General Chemistry,Whitten,1992,978-0-03-072373-5,False,0.0005223849599999999,0.0004411515518426227,isbn:9780030723735
17,0.764,Goodman and Gilman's The Pharmacological Basis of Therapeutics,,2010,978-0-07-162442-8,False,0.0005766859099999999,0.0004403880534668626,isbn:9780071624428
4,0.881,"March's advanced organic chemistry : reactions, mechanisms, and structure",March,2007,978-0-471-72091-1,True,0.0004983627640000001,0.00043903899691432983,isbn:9780471720911
4,0.737,Chemical Principles: The Quest for Insight,Atkins,2008,978-1-4292-0965-6,False,0.00059304505,0.00043705426483849237,isbn:9781429209656
6,0.779,Metal Ions in Solution,Burgess,1978,978-0-85312-027-8,False,0.0005600456300000001,0.0004363917228466867,isbn:9780853120278
3,0.802,Organometallchemie,Elschenbroich,2008,978-3-8351-0167-8,False,0.000542069945,0.00043491895058710937,isbn:9783835101678
